text,hypothesis,majority_label
cross,fall,independent
two child,child,entailment
group,together,entailment
close to,is near,entailment
unite,work,independent
a population,humans,entailment
eu,high,independent
space,spacecraft,entailment
on monday,"sunday ,",alternation
somalia,mogadishu,entailment
network,government,entailment
last,take,independent
man,the male,alternation
washington,white,independent
smoking,drug,entailment
lot of people,many people are,equivalence
somebody,someone 's,other-related
is,report,independent
company,corp,equivalence
first,man,independent
brown,eyes,alternation
the time of,was,independent
police station,police officer,entailment
force,missile,independent
prime,singapore,independent
a young man,an old man,alternation
birth,woman,other-related
practice,target,other-related
coast,ground,independent
rest on,sit on,entailment
a gun,army,other-related
little,small,equivalence
front,house,independent
faucet,water,other-related
in china,people 's,independent
escape,make,independent
spend,weather,independent
u.s.,us troops,other-related
iraq,oil,other-related
come,look,independent
come,revise,independent
care .,health care,entailment
look,push,independent
is in,standing in,entailment
condemn to,was convicted,equivalence
lifetime,career,entailment
arabic is,of the arab,other-related
and is,is under,independent
back,convert,independent
only slightly,poorly,independent
gun,hit,independent
bank,particular,independent
are concerned,be,independent
disarmament,nuclear,other-related
body,boy,independent
a big,with a large,equivalence
the grass,the green,other-related
national,several,independent
oil,oil price,other-related
the issue,the law,other-related
the death,was killed,other-related
climb,mountain,other-related
become,was in,independent
boy,gentle,independent
carry out,murder,independent
la,such,independent
china during,china from,other-related
act,member,independent
bill,day,independent
boy is,guy is,other-related
council of,of state,other-related
former,unite,independent
standing,suit,independent
action,measure to,independent
"girl ,",young girl,entailment
minister,singh,independent
tour,visit,other-related
road,the street,entailment
doctors are,the doctor,entailment
arba,kiryat,independent
very,wish,independent
work,employer,entailment
australia is,and australian,entailment
earnings,net,entailment
body,dead,independent
other woman,woman is,alternation
political,technology,independent
human,management,independent
can be,east,independent
years,young,other-related
travel is,travel costs,entailment
building,release,independent
election,mayor,other-related
come,return to,entailment
note,writing,other-related
describe,take,independent
foreign,foreign affairs,entailment
more,people,independent
hat,playing,independent
mistreat,mistreatment,equivalence
however,recently,independent
system,government,entailment
body,hold,independent
go on,take,independent
army,the air force,entailment
is,look for,independent
health,home,independent
boy 's,boy is,equivalence
account,fiscal,other-related
"a girl ,",little girl,entailment
is a,seems to be,other-related
build,dump,alternation
writer,journalism,entailment
dead,kill in,other-related
%,spending,other-related
the war,victory,other-related
a person,an official,entailment
ice,skate,other-related
beach,little,independent
protecting,monitoring,entailment
committee,senate,entailment
the construction of,under construction,other-related
government,the minister,other-related
member .,union .,other-related
canadian,take,independent
man,room,independent
programme,war,independent
a rest,a nap,entailment
group,pack,entailment
chinese,li,independent
house,political,independent
baghdad,military,other-related
cooperate with,work with,equivalence
very happy,happy life,entailment
agency,parts,independent
and have,and play,independent
bush,war,independent
the head,prime minister,entailment
decrease,have,independent
humans,people,equivalence
the capacity,the university,independent
tour,concert,entailment
country,france,entailment
gas,hydrogen,entailment
participation in,take part,equivalence
hat,headdress,equivalence
mile,more,independent
bag,inside,alternation
say,west,independent
a substance,substance,equivalence
a person,a man,entailment
kid is,boy is,entailment
many,the number,entailment
force,commander,entailment
been,win,independent
a threat to,pose a threat,equivalence
a phone,a phone call,entailment
is,love,independent
sign,work,independent
ice,yellow,independent
is a,is located,independent
attack,wound,other-related
margin,peace,independent
control,sustain,independent
a kid,a woman,alternation
man,rod,independent
game in,olympic game,entailment
a few,part of,independent
a little,a little kid,entailment
microsoft,operating,other-related
police,patrol,entailment
hold,look,independent
citizen,parent,entailment
german,project,independent
baseball,soccer,alternation
old man,stand,independent
govern,interim,other-related
people,family,entailment
of state,department of state,entailment
be sought,seek,equivalence
a car,window,other-related
leave,put,independent
introduction,sharing,independent
front,side,alternation
the midst,train,independent
economy,vitality,independent
monitor,system,independent
plane,airliner,entailment
baby,put,independent
different,political,independent
compound,produce,independent
cook,prepare,other-related
play,role,other-related
death,effects,independent
commonly use,use in,entailment
north korea,south korean,alternation
"percent ,",percent increase,entailment
mark the,was an,independent
do n't,is,independent
denture,implant,other-related
plate of,pot of,alternation
meet,was,independent
province,south,entailment
as,take,independent
victory in,won the,other-related
off,right,independent
area,person,independent
occurs,has been,entailment
of people,of friend,entailment
make,wear,independent
china,sichuan,entailment
are,part,independent
war on,us-led war on,entailment
gaza,"gaza strip ,",entailment
christian,coalition,independent
many,severe,independent
federal,president,entailment
political,government,entailment
have,withdraw,independent
do,destroy,entailment
call,share,independent
man,tail,independent
bear,not,independent
report,sector,independent
head,holiday,independent
community,court,independent
is doing,there is,independent
cause,estimate,independent
many,a crowd,entailment
lie,lie down,entailment
pilot,plane,other-related
the man is,there is a,independent
military,guerrilla,entailment
kill,the killing,equivalence
call for,go to,alternation
force,guerrilla,other-related
movement,reform,entailment
lose,person,independent
content,soil,independent
substance,soil,entailment
president,visit,independent
high,standing,independent
city,office,independent
rest,sit,entailment
and hold,and is,independent
bomb,terrorism,other-related
day of,first day,entailment
security council,the un,independent
river,stream,entailment
man,old man,entailment
accord to,is in,independent
great,marine,independent
reunify,reunite,equivalence
piece,small,other-related
democracy,president,other-related
french,paris,other-related
make,report,independent
hub,primary,entailment
the eu,the european,equivalence
end,play,independent
minister,state,independent
is,promise,independent
person,hair,entailment
gun,none,independent
the performance,the potential,other-related
living,rest,independent
chemical,industrial,independent
africa,east africa,entailment
weapon,nuclear weapon,entailment
computer,design,other-related
make,revise,other-related
first,iran,independent
poll,election,entailment
important,only,independent
a sense,point,independent
rule out,will not,independent
chief,court,other-related
the death,death penalty,entailment
direct,produce,other-related
grab,look,independent
adult,large,independent
the world,the year,independent
general,liberal,independent
the u.s.,us military,other-related
amount of,half of,other-related
mobile phone,the aircraft,independent
rate,unite,independent
growth,quarter,independent
minister of,the head of,equivalence
north atlantic treaty,the north,other-related
call,the phone,other-related
blue,boy,independent
are,range,independent
system,trade,independent
military,military force,entailment
extent,production,independent
field,stand,independent
a little,the same,independent
black,very,independent
man,top,independent
area,unite,independent
guy,hold,independent
was,was created,entailment
meat,person,independent
large,little,alternation
marketplace,u.s.,independent
disease,prevention,other-related
football,match,other-related
ban,boycott,entailment
el,san,independent
india,two country,independent
financial,minister,independent
the top,the roof,entailment
know,train,independent
principle,sound,independent
contract,last,independent
nation,african,entailment
airline,airport,other-related
korea,talks,independent
lose,more than,independent
eu,member state,independent
are,are used,entailment
new,research,other-related
member,new,independent
paper,note,entailment
here,qatar,independent
kid,boy,entailment
bridge,river,other-related
bush,last,independent
employ,have,independent
partnership,research,other-related
own,owner,other-related
barrels of oil,barrels a day,entailment
election,candidate,entailment
take a,up an,independent
iran,nuclear,independent
face,smile,other-related
job,month,independent
"family , which",happy family,entailment
find a,of finding,equivalence
bank,city,independent
more,more time,entailment
the kid,the little,entailment
the telephone,telephone company,entailment
device,person,independent
iraq,the state,independent
dead and,people dead .,equivalence
round,turn,independent
be a,considered to be,independent
oil,year,independent
in order to,to push,independent
world,european,entailment
go,have,independent
a nickel,cent,alternation
intelligent,science,entailment
baby,small,other-related
block,man,independent
president,deputy president,entailment
official,player,independent
leak,publish,independent
care services,and health care,entailment
commission,first,independent
figure,report,independent
got,have,equivalence
no one,people is,alternation
leg,stand,other-related
curb,to reduce,equivalence
clerk,director,independent
attempt,early,independent
man,the boy,alternation
south,south korean,entailment
care,care services,entailment
each other,other in,independent
attack by,meet with,independent
april,moon,independent
boy,little,other-related
drink,drunk,entailment
seek,write,independent
issue,woman,entailment
strike,suicide,independent
a person 's,a person,entailment
face a,in front of,equivalence
partially,slightly,entailment
looking,prepare,independent
slide,snow,other-related
bottom,hill,independent
health,responsibility,independent
boy,device,independent
bounce,jump,entailment
as president of,the presidency of,other-related
have a,is expected,independent
announce,wednesday,independent
product,sony,entailment
day,new,other-related
home,record,independent
account,plan,independent
something,object,entailment
was,was recorded,entailment
god,lord,equivalence
% in,percent in,equivalence
gaza,source,independent
a guy,the man,entailment
teeth,tooth,entailment
gear,suit,other-related
concrete,person,independent
", in china",in china 's,entailment
are,form,independent
study,the subject,other-related
president,president 's,other-related
government,central government,entailment
is located,life,independent
air,south,independent
be with,meet with,other-related
drive,headquarters,independent
do,beg,entailment
be paid,to be,independent
the islamic,palestinian islamic,entailment
life,loss of life,alternation
campaign,party,other-related
international,nation,other-related
high,middle,other-related
maximum,netherlands,independent
are due to,return to,independent
a common currency,monetary union,other-related
people,state,other-related
habitat,vegetation,other-related
ago,early,independent
decision to,the government,independent
bad,is,independent
allow,system,independent
fight,lie,independent
has been,have increase,independent
fire,police,other-related
girl 's,girl in,equivalence
performance,rate,other-related
field,woman,independent
global,trade,other-related
accept,fall,independent
in front,off the,independent
a little,the air,independent
not,possible,independent
board,work,independent
fighting,militia,other-related
national,right,independent
growth,union,independent
"""",possible,independent
antarctica,the antarctic,equivalence
is leading,lead,other-related
most,the people,independent
young,the child,entailment
"little ,",little boy,entailment
the protection of,to protect,equivalence
strip,the gaza strip,entailment
accord,say,independent
practice,principle,independent
bring,time,independent
council,council 's,equivalence
front,tall,independent
king,right,independent
leaders,national,entailment
a paper,piece,other-related
use,use by,entailment
first,measure,independent
attack,ambush,entailment
station,subway,entailment
be,meet,independent
illegally,wrong,equivalence
was elected,was reelected,entailment
other,woman,alternation
chance,get,independent
carry,chase,independent
also,state,independent
a suicide,bomber,other-related
leader,rebel,independent
create,report,independent
award,have receive,other-related
pack,place,independent
feel,locate,independent
japan 's,kyodo news,other-related
escort,light,independent
destroy,weapon,other-related
award,was,independent
hand,lot,independent
is playing,play by,other-related
manufacturer,mark,independent
may not be,not be possible,independent
the killing,was killed by,other-related
pattern,size,independent
car,interview,independent
was killed,murder,entailment
experience,help,independent
animal,human,entailment
children are,the kids are,equivalence
"person ,",man,entailment
game,sydney,independent
bride and,marry couple,other-related
front,towards,other-related
lot,win,independent
off,tour,independent
court 's,court to,independent
a girl,a man,alternation
is doing,is playing,entailment
body,car,independent
drug,use,other-related
clear,man,independent
member of,"party ,",other-related
japan,july,independent
extend,have,independent
hold,playing,independent
part,middle,entailment
commodity,food,entailment
old,person,other-related
are gathering,gather in,equivalence
for the protection,to protect the,equivalence
snow,snowy,other-related
being,consist,independent
the police,a police station,entailment
is,mean,independent
agency,make,independent
law,the federal,other-related
account,system,independent
chinese,lunar,independent
are,member,independent
death of,die .,equivalence
coast,the west coast,entailment
illegal entry,smuggling of,equivalence
delay,set,independent
council,member,other-related
government,past,independent
assembly,council,entailment
material,trade,independent
background,route,independent
people are,man in,entailment
injure in,seriously injure,entailment
combine,use,independent
money,stealing,other-related
have the,playing a,independent
quickly,very,independent
friday,thursday,alternation
north,talks,independent
government,measure,independent
annual,large,independent
is,run,independent
go on,law,independent
of oil,oil pipeline,entailment
have been,occur in,independent
bread,butter,other-related
louis,st. louis,entailment
china during,the chinese,other-related
terror,terrorist,other-related
commission announce,commission declare,equivalence
hall,main,independent
headquarters of,locate in,other-related
back,lose,independent
baby,lady,alternation
coalition,iraqi,independent
church,evangelical,entailment
live,they are,independent
eu,there are,independent
cause by,result from,equivalence
south and north,and south,entailment
group,wing,independent
to take,take place,entailment
man,no one,independent
a woman,man,alternation
benefit,economic,other-related
deliver,is,independent
department,investigation,independent
league,team,other-related
is being held,is taking,independent
air,have,independent
man,there is a,independent
cost of,loss of,other-related
done,is,independent
is,today 's,independent
", kill",were killed,other-related
of the unite,the unite state,entailment
key,long,independent
right,world,independent
government,volume,independent
the u.s.,the white,other-related
size,large,entailment
do,drive,independent
represent the,say the,independent
a dog,dirt,independent
people,russia,independent
admit,be,independent
some child,small child,entailment
he become,is a,independent
iraq,troops,other-related
to finalize,to sign,other-related
ball,soccer,other-related
be,fuel,independent
can be found,is,independent
look at,look at the,equivalence
house,not,independent
civil,president,independent
the first,the government,independent
the head,president of,entailment
is touching,touch,equivalence
have,launch,independent
government,practice,independent
adverse,fatal,other-related
couple,woman,other-related
vegas,la vegas,entailment
new,social,independent
was killed,gun down,entailment
jerusalem,radio,independent
tire,a tire,entailment
person,sea,independent
europe,organisation,independent
a suicide,suicide bomb,entailment
attempt,make,independent
who is,person who is,entailment
away from,not,independent
environment,hold,independent
first,time,other-related
minister,president,other-related
kuwait,saudi,other-related
of east,east timor,entailment
are,is n't,independent
the crash,the pilot,other-related
"""",recent,independent
loss of,lose their life,entailment
continue to,there is a,independent
ride,trail,other-related
attack,center,independent
take,win,independent
laugh,playing,independent
artist,musician,entailment
global,the world 's,equivalence
is located,was given,independent
large,tail,independent
cluster,group,equivalence
detective,law,other-related
case,standing,independent
hold,put,other-related
lead,shoot,independent
evacuated,evacuation,equivalence
council of,state of,independent
seize,storm,independent
significantly,use,independent
a group,group,equivalence
government,land,other-related
council,earth,other-related
least three,least two,alternation
banker,banking,other-related
debt,european,independent
state,state 's,equivalence
field,make,independent
u.s.,us military,entailment
government,leaders,alternation
case of,case involve,entailment
park,road,independent
have,lie,independent
last,official,independent
court,service,independent
a tree,the air,independent
middle,young,independent
reducing,to reduce,equivalence
other in,each other in,entailment
more,say,independent
music,play,other-related
announce,military,independent
missile,u.s.,independent
deadline for,time to,other-related
far,live,independent
develop,know,independent
meet,time,independent
are,human,independent
a group,militant group,entailment
a track,race,other-related
boy,small,other-related
are doing,get,independent
stand,still,independent
night,the dark,other-related
iran 's,and tehran,entailment
clear,president,independent
adult,young,alternation
man,something,independent
gaza,palestinian,other-related
appear,run,independent
condemn,criticise,equivalence
program,reform,independent
budget,the deficit,other-related
run,try,independent
is,is being held,entailment
eu,up,independent
account,use,independent
measure to,"policy , and",independent
office,say,independent
advance,develop,equivalence
punishment,capital punishment,entailment
stage,start,independent
are,match,independent
vehicle,shuttle,entailment
play by,play for,other-related
adopt,government,independent
kill on,murder in,entailment
of burma,of the burmese,equivalence
work,administration,entailment
senate,senator,entailment
soldier,us troops,entailment
the murder,were killed,other-related
legal,report,other-related
demonstrate,place,independent
been kidnapped,kidnapping,equivalence
government,the government 's,entailment
city,park,other-related
class,cost,independent
close,see,independent
iraqi,war,other-related
israeli,israeli troops,entailment
large,stand,independent
head of,prime minister of,entailment
game,olympics,entailment
is being carried,is carrying,alternation
sentence,take,independent
positive,use,independent
young,the young man,entailment
blew up,explode,equivalence
europe,force,independent
business,percent,independent
hand,hold,other-related
following,other,independent
complete,get,independent
"ever ,","it history ,",independent
fight the,war against,alternation
a man,a woman 's,alternation
palestine,palestinian,equivalence
sale,unite,independent
court in,"justice , in",other-related
administration,washington,other-related
trade,program,entailment
phone,cell phone,entailment
the city 's,fallujah,entailment
autonomy,political,independent
have,occur,independent
play,use,independent
peacekeeping,peacekeeping force,entailment
cite,employ,independent
policeman,security,other-related
council,iraq,independent
band,playing,other-related
being,classroom,independent
virus,bird flu,entailment
cost,price,equivalence
support,support of,entailment
same,was,independent
"""",human,independent
ngo .,non-governmental organisation,equivalence
movement 's,movement .,equivalence
top of,the roof of,entailment
terrorist,the terrorist,equivalence
official,wound,independent
extinction,species,other-related
blue,helmet,independent
brown,small,independent
air,empty,other-related
not,to keep,independent
baby,playing,other-related
become,return,independent
which have,who is doing,independent
even,well,independent
friday,friday morning,entailment
state of,that member,independent
attack,terror attack,entailment
however,police,independent
drunk,juice,other-related
impact,oil,independent
public,civic,entailment
take,use,other-related
layer,phase,independent
family,rest,independent
complete,national,independent
enter,was,independent
"""",place,independent
are,grow,independent
give,specific,independent
send,take,independent
are fighting,are running,independent
rain and,heavy rain,entailment
aid to the,help the,other-related
lady,young,independent
boys are,"man ,",other-related
leave,run,independent
a man,father,entailment
art,folk,other-related
telephone,long-distance,entailment
laws,measure,independent
make,participate,independent
ask the,request from the,entailment
member,mr.,independent
are due,to return,independent
quickly,up,independent
is,lack,independent
of wales,prince of,other-related
being,only,independent
serve,was,independent
also,increase,independent
dead,victim,other-related
face,hold,independent
say,world,independent
man,match,independent
asean,nation,independent
play,kick,entailment
unite nation environment,environment programme,entailment
company,date,independent
animal,cow,entailment
are being,to get,independent
de,is,independent
government,need,independent
mix,mixture,equivalence
a few,only a few,equivalence
main,capital,entailment
air,airplane,other-related
sail,the water,other-related
member state,the eu,independent
develop,new,other-related
as well,is,independent
global,pandemic,other-related
no one,people,alternation
try,wear,independent
more,the world,independent
a change,a new,other-related
be possible,may not,independent
able,find,independent
is playing a,play by,other-related
front,ground,independent
rise,up,equivalence
play,sitting,independent
years in jail,years in prison,equivalence
court have,supreme court,independent
have,offer,independent
the child,a baby,entailment
past,thursday,independent
people,the world,other-related
a boy,a little boy,entailment
crossing,passenger,independent
boy in,child in,equivalence
he is,the man is,equivalence
direction,structure,independent
democrat,the social democrat,entailment
is the,value at,independent
us president,president george,entailment
member,serve,other-related
today,usa today,independent
unite,the u.s.,entailment
picture,a photo,entailment
language,speak,other-related
league,premiership,independent
camera,the room,independent
war,three war,entailment
control,west,independent
area,fight,independent
affect the,change their,entailment
economic,government,other-related
euro,january,independent
a few,only a,independent
welsh,wales,entailment
a boy,man,alternation
minister,us secretary,independent
penalty,death penalty,entailment
the murder of,were killed by,other-related
funny,serious,alternation
johnson,place,independent
cigarette,smoke,other-related
and are,and make,independent
more,nearly,independent
arab,iraqi,entailment
explosion,people,independent
day,festival,entailment
u.s.,united state,equivalence
acceptable,use,independent
prize,win,other-related
look,run,independent
confirm,know,other-related
case,the state,other-related
he was,is married,independent
file,government,independent
personnel,record,independent
others,part of,alternation
market,revenue,other-related
need,project,independent
introduce in,introduction of a,other-related
liberty,independence,entailment
is under,which is,independent
state,army,entailment
road,trail,other-related
award,win,other-related
something,take,independent
been,especially,independent
microsoft,marketing,entailment
help,share,entailment
country,national,equivalence
prime minister,the minister,entailment
the last,the new,independent
blew up,suicide bomb,entailment
boy,young,other-related
food and,food and drug,entailment
country .,state .,entailment
have,train,independent
a suicide bomb,a suicide bomber,other-related
soil,well,independent
china is,the chinese,equivalence
find,kill,independent
spent,stay,independent
telephone,the phone,equivalence
father,kid,alternation
government,more,independent
a bed,sleep,other-related
a huge,with a large,equivalence
threaten,undermine,equivalence
penalty is,punishment is,equivalence
scooter,motorbike,entailment
art,goal,independent
state,the unite state,entailment
the government,government say,entailment
playing,push,independent
human,work,independent
kid,a little girl,entailment
the face,eyes,entailment
clean,face,independent
government,last,independent
year 's,year as,other-related
ball,park,alternation
a few,people,independent
the u.s.,unite state,other-related
council,first,independent
fall,lie,independent
is in,to go,independent
a wall,the ground,alternation
extinction,result,independent
house,woman,independent
baby,deal,independent
different,the same,alternation
attack,last,independent
percent,report,independent
home,white,independent
have,sent,independent
die in,people die,entailment
accuse,arrest,other-related
board,european,independent
there is,they 've,other-related
run,standing,alternation
history,was,independent
"increase ,",rise .,equivalence
phone,the telephone,equivalence
cause,compare,independent
development,national,independent
a group,people,entailment
opposition,today,independent
boy,game,independent
are,stand,independent
a baby,small,other-related
food,dairy,entailment
aid,raise,independent
dead .,people dead,entailment
's new,the new,equivalence
research,step,independent
hand,serve,other-related
name,john,entailment
canada,the u.s.,alternation
presidency of the,president of the,equivalence
on monday .,"sunday ,",alternation
agency have,organization,independent
board of,board of director,entailment
race,world,independent
dirt,the grass,other-related
death in,kill by,other-related
to cast,to vote,other-related
a little,a young,other-related
's most,'s most important,entailment
accord,have,independent
affect,cause,other-related
help,hope,independent
are located,set a,entailment
falls,is,independent
few,not,independent
co.,inc.,equivalence
warning,early warn,entailment
study,was,independent
not,not work,other-related
the case,the law,other-related
a bunch of,group of,entailment
industry,oil,other-related
blue,little,independent
jobless,unemployment,equivalence
remain,use,independent
a meeting,meet,equivalence
dish,bowl,entailment
the country,the president,other-related
security .,share .,independent
us president,george w. bush,entailment
call,telephone,entailment
"days ,","week ,",entailment
have,start,independent
environment,of environmental,entailment
light,water,independent
other,wounded,independent
hit the,was the,independent
bill,ready,independent
home,settler,other-related
's governor,the governor of,entailment
member of,representative of,entailment
go up,rise,equivalence
hold a,is carrying,other-related
beirut,hariri,other-related
away,outdoors,independent
carry,report,independent
play,watch,other-related
answer,are,independent
open for,open the,other-related
enter into,have,independent
people,someone,entailment
king,world,independent
destruction,earth,independent
pick up,take up,other-related
military,military personnel,entailment
is to,take,independent
appoint,serve,independent
hands,his hand,entailment
earlier,germany,independent
the eu,the european commission,other-related
take,time,independent
court 's,chief justice,entailment
bomb,bomber,entailment
gun,hold,other-related
first,landmark,independent
are,obtain,independent
first day,new year,other-related
john,paul,independent
bottom,ocean,other-related
period,revolution,entailment
and find,of finding,equivalence
's board,the board,equivalence
the little,the little boy,entailment
co.,maker,independent
leaders,state,other-related
"pact ,",treaty organization,entailment
found,well,independent
attribute,were,independent
computer,firm,independent
inside,man,independent
reserve,space,independent
a telephone,phone,equivalence
minimal,significant,alternation
plan to,will go,other-related
alliance of,coalition between,equivalence
23 %,23 percent,equivalence
", the official",official say,independent
day,lead,independent
have,right,independent
council,office,other-related
", were",were kill,independent
add,have,independent
do,put,entailment
break,enter,independent
agency,representation,independent
line,street,independent
law,tell,independent
event,tour,other-related
park,world,independent
the israeli,west bank,other-related
home,leading,independent
age,years ago,independent
headquarters,nation,independent
racing,track,other-related
convention,police,independent
world,germany,entailment
unite,group,entailment
expect,target,independent
more,top,independent
gather,look,independent
place,use,independent
greece,olympic,other-related
disease,disease .,equivalence
concrete,long,independent
bacteria,strain,other-related
park,size,independent
person,who is,independent
bride,couple,other-related
boy,large,independent
presidency of,president of,other-related
a race,track,other-related
people,employee,entailment
chief,conservative,independent
afghanistan,soldier,other-related
earning,loss,alternation
europe,european,equivalence
gun,wood,independent
feed,food,other-related
change,reform,entailment
arafat,yasser,equivalence
supply,product,entailment
great,steep,other-related
the palestinian,palestinian authority,entailment
are placing,are putting,equivalence
cover,have,independent
naked,red,independent
kilometer,meter,other-related
central,front,other-related
murder of,was killed by,other-related
cooperation,man,independent
is,stop,independent
accord,hospital,independent
confirm,support,independent
people,many people,entailment
call,phone,other-related
president,time,independent
set,sticky,independent
have,interest,independent
injure in,others were,independent
the child,small child,entailment
dispute,subject,independent
eu,speak,independent
of mental,mental health,entailment
edge,shore,entailment
last,other,independent
partner,target,independent
most,the world,independent
attack,explode,independent
call,develop,independent
burn,torch,other-related
%,union,independent
building,front,other-related
player,world,independent
prisoner,row,independent
highway,hour,independent
have,home,independent
hand,up,independent
leg,soccer,independent
event,stage,other-related
beach,sun,other-related
attack,explosive,entailment
help,version,independent
dive,the water,other-related
fishing,line,other-related
can really,able to,entailment
is being held,is holding,other-related
indigenous,resource,independent
singing,song,entailment
city,work,independent
he was,say,independent
ground,water,other-related
the case,the state,independent
government,laws,other-related
full,milk,independent
day,end,independent
council,prime,independent
"group ,",the opposition,entailment
imprisonment,trial,other-related
bomb,car,independent
eu,member,independent
estimate,propose,independent
government,the system,other-related
has been effective,has been successful,equivalence
group,national,independent
to be,try to,independent
monday,officer,independent
is,went,independent
african,democratic,independent
a group,crowd,equivalence
capital punishment is,death penalty,equivalence
playing,put,independent
cold,water,other-related
court,senate,other-related
are,bathe,independent
's supreme court,supreme court,equivalence
car,another car,entailment
india 's,pakistan,alternation
person,sport,independent
nicaragua,nicaraguan,other-related
job,level,independent
people,san,independent
a boy,a young man,equivalence
green,meat,independent
"year , which",new year,entailment
of a large,very large,other-related
enclosure,fence,entailment
america,unite state,other-related
communications,release,independent
kill on,the murder of,entailment
stage,treatment,other-related
a cell,cell phone,alternation
birth,the son,other-related
the explosion,the time,independent
ask the,request from,equivalence
three boy,boy,entailment
as,parliament,independent
dog,monkey,alternation
be explored,to explore,other-related
up,way,independent
many,primary,independent
police and,police station,other-related
attack,invasion,entailment
car is,woman is,independent
cars are,vehicles are,equivalence
field,street,alternation
jet,warship,other-related
radio,israel radio,entailment
bank,environmental,independent
a child,the boy,entailment
small child,young child,equivalence
an interior,interior ministry,entailment
man,old,other-related
political,administration,entailment
murder of,were murdered,entailment
measure,nuclear,independent
economic,have,independent
opposition,a protest,entailment
event,margin,independent
get,to be,independent
paper,person,independent
mayor,town,other-related
disaster,peacekeeping,alternation
fly,steal,independent
is a,is even more,independent
complete,la,independent
a dead man,his death,other-related
population,humans,entailment
the gulf,1991 gulf,entailment
pay,kill,entailment
most,strong,independent
drop,jump,independent
development,years,independent
citizen,official,independent
girl,horse,independent
common,european,independent
branch,bank branch,entailment
exist,have been,alternation
one,the man,independent
property,property damage,entailment
business,year,independent
secret,trade secret,entailment
people were wounded,"wound ,",other-related
shipwreck,sunken,other-related
penalty,punishment,equivalence
company,ceo,entailment
olympic,sydney,other-related
"people , include",", include",entailment
child,the kid,equivalence
continue,match,independent
return to the,to return to,equivalence
germany,west germany,entailment
is having,is enjoying,entailment
penalty,capital punishment,entailment
army,country,other-related
event,game,entailment
kid,a baby,entailment
alert,early,independent
have,war,independent
female,a woman,entailment
brazil,year,independent
dance,show,independent
organization,report,independent
merely,not,independent
", call",call for,entailment
"jerusalem ,",east jerusalem and,entailment
u.n,u.n.,equivalence
organization,stand,independent
presidential,runoff,independent
is treated,treat,alternation
claim,iraq,independent
should not,to keep,independent
europe,france,entailment
environment,resource,other-related
young child,young boy,entailment
average,wide,independent
have,recent,independent
concern,to be,independent
union,way,independent
external,use,independent
amount,capability,independent
two country,state,entailment
champion,league,independent
the world,state,entailment
patrol,military,entailment
beat,call,independent
at least,more than,other-related
the person,a woman,entailment
already,use,independent
congress,hall,independent
state,unite,other-related
the government,chinese government,entailment
talk,to speak,equivalence
report,share,other-related
indigenous,nation,independent
area,export,independent
a lady,lady,equivalence
begin,demonstrate,independent
channel,ridge,other-related
encourage,to support,equivalence
language,gaelic,entailment
the bottom,top,alternation
part,point,independent
the waters,sea,entailment
side,work,independent
left,side,entailment
evacuate,leave,equivalence
allow,place,independent
human,world,independent
china,gansu,entailment
republic,cyprus,entailment
is missing,left,independent
been,show,independent
base,internet,independent
little,past,independent
are coming,are running,other-related
inhabitant,village,alternation
attack,explosion,entailment
could n't,is unlikely,other-related
attack,times,independent
get,push,independent
rise,spend,independent
act,legal,independent
hurricane katrina,katrina,equivalence
child,park,other-related
mountain,sky,other-related
company 's,company .,other-related
income,share,other-related
commercial,marine,independent
home,night,independent
ever,first,independent
a few people,some people,equivalence
others,person,entailment
leaders,monday,independent
english,football,independent
economy,economic conditions,entailment
make,make of,other-related
few hundred,a few,entailment
drug,fight,independent
get,make,independent
election,the vote,other-related
disease,alzheimer,entailment
large,more,independent
be allowed to,to allow,other-related
the israeli,the israeli army,other-related
home,number,independent
have,earn,entailment
take a,being taken by,entailment
end,full,independent
cause by,wake of,independent
phone,mobile phone,entailment
oil,rise,independent
people lose,people were,other-related
", specifically",particularly,equivalence
sign,statement,independent
say that,was,independent
found,score,independent
cash,large,other-related
person,tree,independent
marketplace,outlook,independent
a car bomb,car bomb,equivalence
guy,boy,entailment
dirty,little,independent
jerusalem,palestinian,other-related
carry out,out a,independent
full,out,independent
conference,first,independent
the war against,war,equivalence
government,private,other-related
competition,a race,entailment
early,federal,independent
protest against,protest in,other-related
add,service,independent
dog,kid,alternation
due,have,independent
such,temporary,independent
team .,football team,entailment
car,person,independent
care,health care services,entailment
president 's,to president,other-related
claim,post,independent
boy,dark,independent
arms,next,independent
overall,world,independent
more than,more people,entailment
air,air operations,entailment
bridge,build,other-related
end,destroy,entailment
back,yard,other-related
elsewhere,government,independent
have,strategy,independent
lot,n't,independent
call,cell,other-related
the commissioner of,commissioner 's,entailment
hit,slip,independent
penalty,row,independent
jail,prisoner,alternation
just,make,independent
gap,man,independent
make,stage,independent
's weather,weather conditions,equivalence
die,killed,entailment
year .,new year .,entailment
is doing,perform,equivalence
liquid,river,entailment
find,party,independent
imprisonment,station,independent
live with,people live with,entailment
mandela,president nelson mandela,equivalence
goal,government,independent
school,testing,other-related
release,set,independent
car,police,independent
command,commander,entailment
rate,rates in,other-related
weapon,rifle,entailment
chief,monday,independent
canada,drug,independent
man,serious,independent
mexico .,mexico city,entailment
federal,local,alternation
assembly,europe,other-related
year 's,year .,equivalence
president,senator,other-related
