truth,hypothesis,majority_label
common,monetary,independent
a trial,case,hyponym
rise,year,independent
be,deal,independent
council,publication,independent
cause by,result,synonym
order,win,independent
photograph,take,independent
electronics,product,hyponym
industry,report,independent
european union .,of europe .,synonym
career,tenure,hypernym
central bank,the bank,hypernym
case,management,independent
man and,men are,hyponym
lamp,light,hyponym
"war ,",was,independent
company,manufacture,other-related
approve,vote,hyponym
"early ,","say ,",independent
buy,receive,alternation
", is",to go,independent
s,was,independent
follow,little,independent
air,an airplane,alternation
feature,hold,independent
not,talk,independent
are being,is following,independent
friday,second,independent
somebody 's,someone,synonym
a person,somebody 's,synonym
carry,survey,independent
mexico .,"mexico city ,",hypernym
important,most important,hypernym
little,mouth,independent
annan,annan 's,other-related
individual,political,alternation
was,were already,independent
financial,receive,other-related
hit,target,other-related
a representative,spokesman,synonym
field,the game,other-related
career,italy,independent
is taking,there is,independent
dress,take,independent
delegation,representative,other-related
ban,be,independent
go,man,independent
find,pull,independent
protection,to protect,synonym
crude oil,of crude,other-related
association,economic,independent
court,supreme,hypernym
part in,take part,other-related
face,play,independent
the construction,under construction,hypernym
japanese,tokyo,hypernym
say,say wednesday,hypernym
female,study,independent
election,presidential election,hypernym
government,social,independent
growth,growth rate,hypernym
heart,man,independent
-rrb- is,seems to be,independent
oil,oil reserves,hypernym
bilateral,trade,independent
break,take,independent
olympic,world,independent
offer,opportunity,hyponym
nobel peace,nobel prize,hyponym
group .,political group .,hypernym
russian,the russian,synonym
administration,national,independent
bomb,kill,other-related
over the last,past two,other-related
the kid,the man,alternation
was,was still,hypernym
government,statement,independent
discover,have,independent
blue,green,alternation
coast,the sea,hypernym
man,one man,hypernym
airplane,plane,synonym
group,sign,independent
a few,there is,independent
brussels,luxembourg,other-related
program,security,independent
high representative for,representative for,hyponym
accession,bulgaria,independent
government,initiative,other-related
family,last,independent
the last two,the past,hyponym
begin,win,independent
control,health,independent
face,lead,independent
provincial,was,independent
act,property,independent
el,front,independent
company,period,independent
hill,road,independent
size,way,independent
poorly,so,independent
dog,small,independent
ibm,the company 's,hyponym
crowded,many,other-related
create,develop,other-related
people,watch,independent
child,citizen,hyponym
a piece,a slice,synonym
hillside,mountain,other-related
nation,state,other-related
first,museum,independent
a member,much,independent
outdoor,outdoors,synonym
run,tap,independent
economics,economist,hypernym
draft,government,independent
close,target,independent
long-range,remote,hypernym
job,new,independent
member,participation,other-related
january,the month,hyponym
government,summit,independent
's visit,visit to,hyponym
centre,region,independent
switzerland,the swiss,other-related
being,several,independent
are facing,in front of,synonym
president,work,independent
gap in,wage gap,hypernym
have,show,independent
hundred of,number of,hyponym
food,meat,hypernym
official,people,independent
army,national,independent
a roof,top,hypernym
government,unite,independent
stand,wearing,independent
support,to push,hypernym
committee,court,other-related
big,history,independent
come,to return,hypernym
large size,size,hyponym
a person,no man,antonym
relevant,there are,independent
not,recently,independent
case,environment,independent
qualifies for,qualify for,synonym
reform,russia,independent
is looking,up at,other-related
's oil,to oil,other-related
form,use,independent
are located,is,hypernym
fish,hold,independent
power,security,independent
russia,soviet,other-related
remote,sensor,hyponym
less,young,independent
get a,is a,independent
john paul ii,paul ii,alternation
horse,person,alternation
farm,group,independent
is,is playing,hypernym
u.n.,un,synonym
assembly,member,hypernym
al-sadr,cleric,independent
garden,the park,other-related
island,south,independent
", accord to",show that,independent
drink water,water,hyponym
delight,happy,other-related
ago,however,independent
goal,world,independent
it is,the government,independent
company,microsoft,hypernym
hit,league,independent
man,very,independent
state,the united state,hypernym
large,retail,independent
a car,automobile,synonym
group,militant group,hypernym
it was,the then,independent
family,marry,other-related
federal,low,independent
crime,level,other-related
accept,treat,independent
attack,condemn,independent
past,young,independent
iraq war,war,hyponym
death penalty,of the death,other-related
monetary,monetary union,hypernym
drawing up,give,independent
rail,slide,other-related
being,to get,independent
eta,out,independent
lose,off,independent
a little,kid,other-related
agency,atomic,independent
more,specific,independent
introduction of a,was introduced,other-related
federal government,in the federal,hyponym
is large,size is,other-related
emerge,was,independent
audience,tv,other-related
dynasty,family,hyponym
gunman,palestinian,independent
movement,organization,synonym
is,is missing,other-related
building,stone,other-related
is a,order to,independent
former,presidential,independent
measure,time,other-related
leader,official,synonym
been,protect,independent
administration,the government 's,hyponym
position,top,other-related
log,trunk,synonym
attack,the terrorist attack,hypernym
be,due,independent
not,off,independent
first,period,independent
next,state,independent
early,the lead,independent
gear,head,independent
more,seek,independent
", were",take place,independent
boy,tough,independent
's prime,"counterpart ,",independent
earthquake,event,hyponym
propose,regard,independent
person is,woman is,hypernym
office,station,independent
contribution,state,independent
drop,is dropping,other-related
are making,are posing,independent
bucket,yard,independent
crew,people,independent
die,man,independent
growth,more,other-related
dip,rise,antonym
military,officer,hypernym
would allow,would grant,synonym
shuttle,space,other-related
education,job,other-related
institute,university,hypernym
more,report,independent
education,school,other-related
a girl,his daughter,hypernym
tourism,wto,independent
former,sunday,independent
foot,legs,alternation
person is,the girl is,hyponym
case,concern,independent
month,year 's,other-related
part,today,independent
chief,general,other-related
parliament,participation,independent
system in,warning system,hypernym
china,shaanxi,hypernym
area,plant,independent
government decision,the government,hyponym
handle by,is handling,other-related
be,become,hypernym
a man,no one,antonym
no man,the person,antonym
is performing,is playing,hyponym
the ozone,the ozone layer,synonym
benefit,the costs,independent
child 's,children are,other-related
boycott,reject,synonym
introduction,number,independent
hill,hillside,hypernym
ride,speed,other-related
the woman,the woman 's,hypernym
have,reveal,independent
in order to,to be,independent
majority of,percent of,hypernym
minister,process,independent
a small,a toy,other-related
case,past,independent
agency,country,independent
person,stage,independent
king,the throne,hypernym
expand,was increasing,synonym
find,sent,independent
history,property,independent
not,unsafe,independent
risk to the,threat to,synonym
it 's,provide a,independent
are on,are taking,independent
boy,playing,independent
downhill,uphill,antonym
boy,the child,hyponym
build,wear,independent
pair,woman,hypernym
cyprus,the cyprus problem,hypernym
say .,was killed .,independent
six-party,talks,independent
a boy,one man,alternation
france,travel,other-related
on terror,on terrorism .,synonym
piece,very,independent
man,pot,independent
growth,population,other-related
prevent,stop,synonym
a doll,a kid,other-related
be,service,independent
government,u.s.,other-related
launch,toss,synonym
man,pen,independent
charge,release,independent
control,reduce,hypernym
collaboration,sign,independent
capital of,center of,synonym
regional,southeast,hypernym
several,several people,hypernym
ability to,capacity .,synonym
dead,young,independent
%,extent,independent
air,leak,other-related
girl with,woman in,independent
coat,tree,independent
face,include,independent
department,set,independent
partnership,party,independent
attorney,attorney general,hypernym
nato,the north,independent
a break,break,other-related
funds,measure,independent
china,the renminbi,independent
race,the race,synonym
people,world 's,other-related
figure,have,independent
person 's,person who,other-related
city,today,independent
lead the,leader of,other-related
others were,were injured in,independent
european,german,hypernym
central,chinese,independent
car,year,alternation
dump,waste,synonym
out,set,independent
change in,increase in,hypernym
session,un,independent
country,hiv,independent
association,disease,independent
day,point,independent
much,topic,independent
boy,word,independent
many,more,hypernym
party,republican,hypernym
a lot,many,synonym
off,other,independent
cooperation,have,independent
mountain .,mt .,synonym
job,report,hypernym
pan,wok,hypernym
is,need,independent
environmental,policy,independent
north,world,hyponym
officer,official,hyponym
kill,live,antonym
is subject,there is a,independent
fertilizer,soil,hyponym
company,share,other-related
involve,unite,hypernym
car is,girl is,independent
assessment,propose,independent
team,two team,hypernym
big fish,fish,hyponym
bosnia and herzegovina,bosnia-herzegovina .,synonym
being,high,independent
anyone,chief,hypernym
another man,one man,alternation
fine,term,independent
fallen,is falling,synonym
man,number,independent
alexander,minister,independent
do,to perform,hypernym
a light,small,independent
chinese new,the chinese,hyponym
have,towards,independent
prepare,prepare by,hypernym
first,government,independent
number,particularly,independent
department,the cost,independent
a photo,a photograph,synonym
ground,stone,alternation
a wall,fence,hyponym
international,u.n.,other-related
are in the,is located,other-related
president,vote,other-related
completing the,meet it,independent
environmentally sound,sound,hyponym
follow,walk,hyponym
bride and,get married,other-related
of state for,secretary of,independent
the u.s.,the unite state,synonym
man,state,independent
play,stage,other-related
are,force,independent
be worn,wear,hyponym
commissioner,not,independent
model,system,other-related
do,stand,hypernym
rock,water,independent
keep,use,independent
both hands,hands,hyponym
clear,not,independent
care,follow,independent
the young,young boy,hypernym
have become,is,hyponym
center,centre,synonym
storm,surge,hypernym
handle,hold,independent
pipeline,route,other-related
create,development,other-related
live,make,independent
are,unite,independent
triumph,victory,synonym
country,israeli,hypernym
have,person,independent
company,june,independent
are,separate,independent
large,up,independent
there are,women are,independent
grade,la,independent
an executive,division,independent
citizen,city,hyponym
of people,to resident,independent
review,revise,synonym
european citizen,national,other-related
a victory,winner,hypernym
is,just,independent
background,water,independent
coast,northern,other-related
the space,the surface,other-related
investor,people,hyponym
a blast,an explosion,synonym
george w.,president george,hypernym
month,summit,independent
adult,people,hyponym
atomic energy agency,energy agency,hyponym
adverse,patient,independent
fall,slip,hypernym
"""","'s """,independent
was killed,was murdered,synonym
is home to,locate in,synonym
australian,next,independent
identity,indigenous,hyponym
administrative,general,hypernym
activity,corporate,independent
a young girl,girl,hyponym
box,tape,other-related
the girl,the woman,alternation
man,set,independent
that make,there is,independent
someone,woman,hypernym
face,set,independent
a person 's,person,hyponym
counterpart,minister,independent
group,head,other-related
crime,phenomenon,independent
east,next,independent
family,information,independent
do,to be,independent
gunfire,shoot,other-related
do,talk,independent
participation of,represent in,hypernym
first,run,independent
headquarters,new,independent
background,net,independent
is looking,is studying,hypernym
marry,the wife,other-related
one,side,independent
european council,the council of,hyponym
effort to,to bring,independent
dominate,win,other-related
exist,there were,independent
hold a,is a,independent
peace prize,prize winner,other-related
cause,say,independent
spending,year,independent
part,past,independent
occur,take,independent
people,street,independent
government,history,independent
performer,person,hyponym
prison,sentence,other-related
other,treatment,independent
come,say,independent
remote sense,remote sense technology,hypernym
arm,arm force,hypernym
interim,november,independent
baby,girl,hypernym
budget,spending,other-related
is carrying,is wearing,other-related
dark,jacket,independent
been,hit,independent
a little girl,dog,independent
say he,tell reporter,independent
measure,operations,independent
"a boy ,",child is,other-related
number,percent,hypernym
announce,thursday,independent
withdraw from,withdrawal of,synonym
free,move,independent
end,say,independent
a little boy,the boy,hyponym
game,gamer,other-related
"commission ,",the eu,independent
building,property,hyponym
mean that,measure to,independent
to return to,to visit,hyponym
commission,fight,independent
emission,reduce,independent
benefit,well,other-related
idle,walk,independent
boy,toddler,hypernym
battalion,unit,synonym
have,works,independent
ban,summit,independent
a terrorist attack,attack,hyponym
friend in,group of friend,hyponym
army,israeli army,hypernym
ibm,the company,hyponym
have,production,independent
case,first,independent
latvia,status,independent
art,arts,synonym
fire,practice,independent
are,think,independent
is working,there is,independent
boy is,child is,hyponym
case of,number of,independent
the un,this year,independent
one,substance,independent
extent,service,independent
individual,official,independent
issue to,the case,independent
the children are,the kid,hypernym
lead,news,other-related
potential,world,independent
effects,odds,independent
mandela,president,hyponym
", win",win the,synonym
change,political,independent
leader,minister,hypernym
paper,sit,independent
edge,mountain,hyponym
cannabis,drug,hyponym
"""",school,independent
"child ,",young child,hypernym
force have,say the,independent
begin,el,independent
change,was,independent
england,english,other-related
nixon,president,other-related
man,rider,hypernym
being used,is running,hypernym
side,top,independent
is a,play a,independent
's election commission,election commission,synonym
a forest,the woods,synonym
is that,suggests that,hypernym
mr.,prime,independent
people,show,independent
france,war,independent
military,spending,other-related
person,some people,hypernym
guard,guardsman,hypernym
children are,of boy,hypernym
background,group,independent
speak,the phone,other-related
part in the,participation,hyponym
"cell ,",stem cell,hypernym
mr.,president,independent
return to,to return,synonym
cap,suit,other-related
born,mother,independent
dead,man,hyponym
executive,position,hypernym
doe,rabbit,independent
singapore,trade,independent
study,university,other-related
home,tour,independent
a father,man,hyponym
"""",award,independent
ali,sentence,independent
social and,social and cultural,hypernym
hariri,lebanon,other-related
have,perform,independent
issue,law,other-related
possession,use,other-related
child,small child,hyponym
be the,is under,independent
"black ,","red ,",antonym
civilian in,of civilian,synonym
are expected to,plan to,synonym
being,post,independent
food,purchase,independent
", who were",take place,independent
back,spending,independent
general,unite,independent
to go,which is,independent
has been,mean,independent
a woman,some woman,hyponym
illegal,illegally,synonym
boy,go,independent
century,world,independent
high,world,independent
age,man,independent
travel,travel costs,hypernym
a dad,a father,hypernym
a toy,the little,independent
cord,rope,other-related
primary,second,antonym
fresh,little,independent
say .,were wounded .,independent
left,the right,antonym
same,uniform,synonym
family,statement,independent
close,wear,independent
the un,year,independent
being,cross,independent
a french,of france,hypernym
leak,say,independent
aid effort,relief effort,synonym
a man,adult,hyponym
on terrorism .,terror .,hyponym
hall .,"room ,",other-related
speak,talking,other-related
call,create,independent
's high court,high court,hypernym
official,other,independent
interview,place,independent
war,was the,independent
make,repair,other-related
reserve,u.s.,hyponym
's,eastern,independent
a river,the water,hypernym
a female,woman,synonym
crisis,minister,independent
bank,commission,other-related
shoot,target,hypernym
of the unite,unite nation,independent
say,u.s.,independent
boy,cupcake,independent
ms.,president,independent
football,table,independent
girl is,little girl is,hypernym
road,walk,independent
international oil,oil to,hyponym
first,january,other-related
air,command,other-related
lie,rest,alternation
clothes,uniform,hypernym
for the control,to combat,other-related
good,more,independent
man,nothing,independent
camera,picture,other-related
also,council,independent
iraq,official,independent
bush,the u.s.,other-related
nobel peace prize,the nobel,hyponym
is,talk,independent
to prevent and,to stop,synonym
technology,use,independent
make,rock,independent
indian,islamabad,other-related
have,keep,independent
iraq,people,hyponym
cambodia,hun sen,other-related
alcohol,year,independent
follow,have,independent
disease,prevent,other-related
of paper,paper product,other-related
make a,to get,independent
treaty,united,independent
aid,international,independent
win over,win the,other-related
especially,key,independent
militant,palestinian,independent
reform,sound,independent
result in,use in,independent
cook,food,other-related
beginning,start,synonym
nuclear arms,nuclear weapon,synonym
guatemalan,mexico,independent
measure to,"operations ,",independent
female,young,independent
concert,sing,other-related
nation .,the unite,independent
back,post,independent
edge,sand,independent
locate,southern,independent
call,make,independent
boy,leaf,independent
attack,massive,independent
good,out,independent
george w. bush,w. bush,synonym
take,well,independent
cap,head,other-related
iraq,monday,independent
cite,say that,hyponym
different,same,antonym
increase,period,independent
commission,construction,independent
hussein,war,other-related
a suicide bomb,suicide bomber,hyponym
been,indigenous,independent
occupational safety and,safety and,hyponym
care,day,other-related
call,take place,independent
dili,imperial,independent
do,office,independent
back,first,independent
puppy,stick,independent
call,pakistan,independent
resign,strike,independent
activity,country,independent
approximately,years,other-related
post,show,independent
a little,small,synonym
the capital of,the center of,alternation
a young,young girl,hypernym
israel,jewish,other-related
a light,the dark,antonym
former,strike,independent
soldier,was,independent
military personnel,the u.s.,other-related
hand,past,independent
cross,trunk,independent
a large,a little,antonym
aid to,help the,other-related
stick,tree,other-related
have,have become,hypernym
comment,the view,independent
advanced,sophisticated,synonym
is playing a,play the,other-related
have,iraq,independent
attack,hit,hyponym
award,nobel,hypernym
suit,swimsuit,hypernym
couch,sofa,synonym
of boy,of man,alternation
council,the eu,hypernym
biological,chemical,other-related
poverty,world,independent
law,plan,independent
u.s. military,us military,synonym
unite state,year,independent
birth,name,other-related
human,north,independent
are,the eu,independent
bush,the administration,hyponym
close,far,antonym
france,jacques chirac,other-related
u.s.,u.s. force,hypernym
a photo,a picture,synonym
area,people,independent
ball,man,independent
a win,win,synonym
arsenal,stockpile,synonym
albertville,barcelona,independent
israel,say,independent
are,provide,independent
chief,sentence,independent
hunger strike,strike,hyponym
iraq,shiite,other-related
detain,release,antonym
africa,unite,independent
government,the administration 's,other-related
case,virus,other-related
are watching,stare at,synonym
confirm,was,independent
is,works,independent
available,product,other-related
form,forming,other-related
have,measure,independent
female,male,antonym
attack on,was attacked,other-related
light,the dark,antonym
past,population,independent
open,win,independent
cell,cell phone,other-related
economics,price,other-related
baghdad .,capital .,hyponym
law,new,independent
people,some person,hypernym
conservation,protecting,hyponym
lion,part,independent
bag,purse,hypernym
of europe,the eu,hyponym
protecting,the conservation,other-related
company,u.s.,independent
for the small,the little,other-related
syria,washington,alternation
prison,serve,independent
the couch,the sofa,synonym
a baby,little boy,hypernym
plan to,ready to,hyponym
capital punishment,death penalty,synonym
away,hold,independent
informal,power,independent
olympic game,the olympic,hyponym
hold,let,independent
run,train,independent
conference,consultation,independent
issue,parliament,other-related
nation,north,independent
aim at,is a,independent
local,place,hyponym
measure,worker,independent
a person,person,hyponym
minister,prime,other-related
commander,military,other-related
of people,one is,independent
carry,home,independent
huge,was,independent
award a,have receive,synonym
there was,were recorded,independent
organization,political,other-related
bush and,w. bush,hypernym
as well,same,independent
cost,life,independent
measure to,regulation,synonym
has been,take place,independent
executive,government,other-related
car,vehicle,synonym
lot,street,other-related
is,too,independent
habitat,marine,hypernym
being,raise,independent
is a,to serve,independent
asia,world,hyponym
base,meet,independent
brown,hat,independent
chinese new year,new year 's,hyponym
history .,life .,independent
man,sky,independent
indian,vajpayee,independent
device,the phone,hypernym
the beach,the water,hypernym
customer,people,hyponym
gold,world,independent
of environmental,the environment .,synonym
base on,is a,independent
stand,the street,independent
body,person,other-related
percent,year,independent
a guy,no man,alternation
nobody,people,alternation
river,tree,alternation
ground,reality,independent
cite,say,hyponym
guy is,the man is,synonym
industry,the market,hypernym
employee,two employee,hyponym
fire,go,independent
nairobi,programme,independent
"east jerusalem ,",jerusalem and,hyponym
ice,rink,other-related
member,state,independent
football world cup,world cup,hypernym
state,this year,independent
is playing a,is very,independent
dalai lama,the dalai,hyponym
leave,use,independent
threat,un,independent
is n't,is on,antonym
book,history,hypernym
charge,have,independent
is,talk about,independent
decide,have,independent
fall,plant,other-related
are leaving,out of the,other-related
growth,up,synonym
merely,really,hyponym
front,wall,independent
group,strip,independent
government,the chinese government,hypernym
george w. bush,president bush,synonym
dye pink,pink,hyponym
case,total,independent
case,stand,independent
run in,run on,other-related
belong to,own,independent
kill,toll,independent
man,two guy,hypernym
first,share,independent
moscow,year,independent
day,month,hypernym
federal,the unite state,independent
shoot,was killed,other-related
quality,soil,independent
league,race,independent
british,u.k.,hyponym
free,to release,synonym
's,own,independent
activity,fund,independent
report,unite,independent
poll,poll stations,other-related
switzerland,uk,alternation
a target,target,synonym
green,group,independent
woman,world,independent
a significant,was,independent
guy,horse,independent
amazon,amazonian,other-related
fire,show,independent
drink,fresh,independent
the unite state,u.s.,synonym
russian,soviet,hyponym
being made by,is making a,other-related
support,to back the,synonym
girl,the small,independent
playing,run,other-related
ten,years,independent
give,hand,other-related
command,region,independent
a woman 's,the woman,synonym
find,finding,hypernym
by inviting,have invite,other-related
", palestinian",gaza,other-related
come,to be,independent
card,cards,hyponym
part of,to be,independent
make a,make by a,hypernym
"agency ,",agency .,synonym
basketball,game,hyponym
area,center,hypernym
case of,the first,independent
east,the west,antonym
beijing,headquarters,other-related
a man,a woman,alternation
military,service,hyponym
the daily,the newspaper,other-related
cause,give,independent
continue to,there is,independent
council,status,independent
has been,people are,independent
people,well,independent
common,le,independent
u.s.,us soldier,hypernym
man and,people are,hyponym
base,u.s.,hyponym
el salvador,san salvador,independent
period,share,independent
boy,face,independent
group,line,independent
head,the man,hyponym
kill by,were,independent
athens,olympic game,hyponym
baghdad,iraqi,other-related
government,military,other-related
die,occur,independent
bank of,bank president,other-related
cross,stop,independent
enter,make,independent
active,member,independent
instrument,play,other-related
out,pair,independent
other people,to other,hyponym
is going,is turning,other-related
nobel,prize,hyponym
the curb,the sidewalk,other-related
market,the world,other-related
", however ,",was,independent
baby in,child in,hyponym
are,official,independent
jam,traffic,other-related
a track,road,hyponym
come as,war,independent
be,fear,independent
chief justice,judge,hyponym
space,spaceflight,other-related
be announced,say,independent
is speaking,is talking,synonym
is doing,is n't,antonym
people,wound,independent
secretary,unite,independent
fill in for,to replace,synonym
animal,man,hypernym
dog,little,independent
escape,was,independent
the killing of,was killed by,other-related
"the factory ,",the plant,synonym
give,locate,independent
fire,were,independent
comment,employ,independent
a young,young age,hypernym
chief,further,independent
use,wear,independent
land,man,independent
have agree,have decide,synonym
a pack of,group of,hyponym
election,victory,other-related
convention,is,independent
is being,take a,independent
go,was,independent
out,person,independent
", wound",was injured,hyponym
silicon,valley,other-related
blue,water,other-related
find a,have identify a,independent
convention,state,independent
the war,war against,synonym
bicycle,biker,other-related
out,together,independent
able,more,independent
consider the,to review,synonym
", have",the unite,independent
important,wide,independent
result,vegetable,independent
market,power,independent
"government 's """,the government,other-related
george bush,the bush,independent
first,launch,independent
hill,the mountain,other-related
house,inside,other-related
large,steep,independent
company,ltd.,hypernym
china,sichuan province,hypernym
construction,electricity,independent
jan.,january,synonym
set,take,independent
somebody,someone,synonym
punk,rock,hyponym
remove,wipe,synonym
service,street,other-related
here,is,independent
in china,in china 's,synonym
cell phone and,phone and,hyponym
interview,interviewer,other-related
rule,say,independent
wedding,woman,independent
just,leave,independent
an old man,old,hyponym
friday,night,independent
a motorcycle,gun,independent
group of,herd of,synonym
ferry,sinking,other-related
are speaking,talk to,synonym
security,un security,hypernym
boy is,"little boy ,",hypernym
border,territorial,other-related
award,top,independent
"""",council,independent
leave,perform,independent
art,culture,hyponym
resistance,was,independent
address,expect,independent
state,years,independent
footballer,player,hypernym
bank,board,independent
hold,minister,independent
run,to run,synonym
big,very,other-related
infant,little,other-related
gain,job,independent
play,premiere,independent
of guy,of people,hyponym
quarter,street,independent
network,services,other-related
attack,injure,hypernym
price,stocks,other-related
is,is working,hypernym
is,life,independent
man,older,hyponym
a group of,a pack of,hypernym
a hunger strike,food,antonym
been,impose,independent
", official say","were wounded ,",independent
oil,refinery,alternation
fight,works,independent
grass,tall,other-related
hot,water,other-related
of boy,the child,hyponym
"christian democrat ,",christian democratic,synonym
sales,u.s.,independent
delay,more time,other-related
first,sir,independent
show,stand,independent
french,people,hyponym
field,man,independent
bird,head,independent
three people,two people,alternation
coat,shirt,other-related
apple,product,hyponym
especially,many,alternation
administration,unite,independent
export,good,other-related
european,other,independent
information,track,independent
a group,the class,hypernym
are used,there is,independent
lose their life,were lost,hyponym
disorder,treatment,independent
age,john,independent
is quickly,is rapidly,synonym
bush,the president,hyponym
fair,is,independent
effective,successful,synonym
it seem,to be,independent
cost,notice,independent
a small,"boy ,",other-related
approach,say,independent
most,rather,independent
blue,white,alternation
jump,kick,independent
n't,to be,independent
advantage,option,independent
number,summit,independent
's atmosphere,atmosphere .,synonym
increase,sea,independent
expect,plan to,independent
eye,woman,independent
contribute,develop,independent
latest,renew,independent
hold a,hold by a,other-related
baby,woman,alternation
complete,have,independent
shore,the water,other-related
bottom of the,top of the,antonym
custody,prison,hypernym
hat,play,independent
off,place,independent
suffer,was,independent
baghdad,tuesday,independent
part in,to join,independent
a couple,together,other-related
goal,soccer,other-related
ocean,pacific,hypernym
has always been,have,other-related
enter,storm,independent
been cancelled,cancel,hyponym
bail,release on bail,hypernym
do,man,independent
field,full,independent
sit,top,independent
money,organization,independent
system,warn,independent
rocket,space,other-related
huge,stand,independent
hold a,up a,independent
centre,operations,independent
policy,reform,independent
consider,get,independent
the board,work,independent
effective,reduce,independent
being held,dress,independent
election,the president,other-related
italian,italy,hyponym
delegation,hold,independent
do a,have a,independent
council of europe,"europe ,",hyponym
term in,term in office,hypernym
act,days,independent
an old man,young,alternation
are,result,independent
scooter,small,independent
growth,percent,other-related
football,soccer,synonym
hill,slide,other-related
city,lot,hypernym
the unite nation,unite,independent
castle,house,hyponym
the boy,young,other-related
bush 's,that bush,synonym
member country,state,independent
offensive,raid,alternation
euro,market,independent
beijing,china 's,hyponym
victory,vote,other-related
kill,leave,independent
islamabad,pakistan,other-related
terrorism,terrorist,other-related
military,such,independent
the woman,woman 's,other-related
film,motion,other-related
match,run,independent
a man,the woman,antonym
life,mozambique,independent
price,rise,independent
direction,group,independent
inc .,inc.,synonym
decrease,slow,other-related
move,out,independent
describe,was,independent
being taken,take,other-related
chair,man,independent
a number,figure,hyponym
shotgun,weapon,hyponym
knife,weapon,hyponym
check,test,independent
action,reduce,hypernym
mr.,organization,independent
lead,pull,independent
board,board of director,hypernym
europe .,state .,other-related
john paul,john paul ii,other-related
define,were,independent
it 's,the eastern,independent
presidency,years,independent
green,tree,independent
due,works,independent
man,suit,other-related
discuss,state,independent
finger,hand,hyponym
business,le,independent
crime .,"murder ,",hypernym
official,police officer,hypernym
film,hollywood,other-related
gulf of,gulf of mexico,hypernym
line,man,independent
get that,make,independent
"alzheimer 's ,",alzheimer 's disease,synonym
important,live,independent
a young girl,little girl,synonym
develop,run,independent
few people,some people,synonym
will announce,will release,independent
phone,telephone,synonym
parking,sedan,other-related
pollution,regulation,other-related
public,top,independent
light,small,independent
child,world,independent
is,really,independent
been,qualify,independent
monopoly,power,hyponym
germany,uruguay,alternation
fast,good,independent
administration,place,independent
the war against,to fight,hyponym
u.s.,un,other-related
court,high,other-related
new,single,independent
is spreading,there is,independent
personnel,program,independent
mouth,onion,independent
damage,hole,hypernym
a child,children are,hyponym
president,security,independent
two boy,two child,hyponym
ferry,sea,other-related
downstream,reservoir,other-related
follow,palestinian,independent
big,top,independent
half,short,other-related
advantage,subsidiary,independent
be,role,independent
evidence,guilty,other-related
kid,other child,hypernym
group,state,independent
do,get,independent
introduction,national,independent
collision,head-on,other-related
city,district,other-related
good,order,independent
death of a,was killed,synonym
country,india,hypernym
", asean",the association,independent
spending,the bill,other-related
life,the world,independent
association,management,independent
a father,a man,hyponym
a person,owner,alternation
area,atlantic,hypernym
gaza,security,independent
make,to get,independent
away,up,independent
the european,union,independent
depletion,reduce,synonym
continue,open,other-related
law,say,independent
effort to,in order to,independent
was,works,independent
citizen and,european citizen .,hypernym
of finding,quest to,synonym
attack,iraq,independent
france,university,independent
", a car",car bomb,other-related
a large,that big,synonym
at least,still,other-related
reserves,stockpile,synonym
myanmar,myanmar 's,synonym
ground,sun,independent
cloning,human,other-related
emu,union,independent
director,have,independent
friend,man,hyponym
cannabis,marijuana,synonym
hold,pattern,independent
american,us official,hypernym
president of the,the presidency,hypernym
iraq,qatar,other-related
the committee,the next,independent
benefit,do,independent
home,team,independent
atlanta,competition,independent
come out,part,independent
discharge,evacuate,hyponym
camera,set,other-related
the eyes,the face,hyponym
little,sport,independent
france,political,independent
announce,say,hyponym
monkey,tail,other-related
new,sector,independent
find,help,independent
percent,say,independent
a lack,out,independent
avoid,is,independent
are,way,independent
net,very,independent
is carrying,is on the,independent
face,the lead,independent
to win,won,synonym
background,stand,independent
drug,prevention,other-related
grass,terrain,hyponym
the blue,the sky,other-related
federal,la,independent
go,take,independent
former,were,other-related
date,up,independent
close,huge,independent
get,order,other-related
effective,increase,independent
capital,state,hyponym
carry,train,independent
hold a,wear a,independent
yanukovich,yanukovych,synonym
john paul,pope john,synonym
car bomb,car bomb explode,hyponym
sit,sit down,synonym
low,reserve,independent
author,man,hyponym
arabic,language,hyponym
playing,sit,independent
a man,white,independent
is playing,listen,independent
hand,runner,independent
cattle,cows,synonym
empty,full,antonym
activity,time,independent
direct,director,other-related
lama,tibet,independent
gain,rates,other-related
mexico,mexico city,hypernym
embark,employ,independent
look,stand,independent
bit,bite,other-related
euro,movement,independent
cut in,to low,independent
early,issue,independent
chicken,man,independent
a large group,many,hyponym
have,work,independent
room,square,independent
deer,doe,hypernym
the ocean,water,hyponym
environment,general,independent
bring,lose,independent
school,years,independent
federal,state,other-related
", then",is the,other-related
child,kid is,synonym
first day,the first,hyponym
the unite,the world,independent
years in,years in prison,other-related
on earth,on the surface,other-related
carry,playing,independent
country,loss,hyponym
announce,deal,independent
basic,measure,independent
a palestinian,senior palestinian,hypernym
a girl,lady,alternation
board,serve,other-related
gate,regard,independent
red,tomato,other-related
bill,federal,other-related
end,single,independent
drop,fall,hyponym
iraqi force,iraqi soldier,hypernym
release,relieve,other-related
a baby,girl,hypernym
friday,the unite,independent
bush,ground,independent
cultural,folk,hyponym
disease,treatment,other-related
set,up,other-related
award,get,hyponym
home,major,independent
stand,standing,synonym
is launching,is taking,independent
